1,The Best Nintendo Switch Accessories - IGN,ign,"The Switch is pretty sweet as-is, but add in some accessories like a second Nintendo Switch dock, the amFilm tempered glass screen protector, and a Switch Pro Controller, and it's even better.",,,
1,Dark Souls: Remastered 'fixes' Blighttown on PS4 Pro,polygon,"It's time to fight evil, not the frame rate",,,
8,Trump Briefly Responds To Santa Fe Shooting Before Pivoting To Prison Reform,the-huffington-post,"""On another note, a very positive note, I'm honored to be here ...""",,,
8,Trump Laments Latest School Shooting and Vows Action - Again,the-new-york-times,"Mr. Trump had called for gun control measures after the February school shooting in Parkland, Fla., but did not press for action, and Congress has not followed through.",,,
5,House Rejects Farm Bill as Some Conservatives Withhold Support,the-wall-street-journal,"The House on Friday rejected a five-year agriculture and food-stamp bill written by Republicans, reflecting the scrambled politics within the GOP's ranks.",,,
5,Trump announces he will nominate acting Veterans Affairs Secretary Robert Wilkie to become department's permanent leader,the-washington-post,"Trump named Wilkie VA's acting secretary in March, upon firing David Shulkin.",,,
9,Prince Harry meets Windsor well-wishers,bbc-news,"The prince, with Prince William, met members of the public on the evening before his wedding.",,,
4,Sports Gambling's Next Hurdle Is Credit Cards After Court Ruling,bloomberg,"For U.S. states ready to legalize gambling, banks hold many of the cards.",,,
5,Jim Rogers Loads Up on Ruble Bonds on Bet Sanctions Don't Matter,bloomberg,"After getting burned in the worst month for Russian bonds in more than a year, Jim Rogers says the toughest wave of U.S. sanctions yet doesn't spook him.",,,
8,FDA names and shames drug makers to encourage generic competition,cnbc,"Major pharmaceutical companies have spent billions of dollars in an effort to patent their products and avoid generic copies of blockbuster medicines, but the FDA commissioner has vowed to end this, the New York Times reports.",,,
5,"Rudy Giuliani Reverses Trump Team's Position, Says President Can Obstruct Justice",the-huffington-post,Obstruction of justice charges are reportedly central to the special counsel's Russia investigation.,,,
5,Trump Says He Will Nominate Acting Secretary to Lead V.A.,the-new-york-times,"President Trump's previous choice to run the Department of Veterans Affairs, Ronny L. Jackson, withdrew his name from consideration last month.",,,
8,How the Texas school shooting unfolded,bbc-news,Ten people were killed and another 10 wounded when a gunman opened fire at Santa Fe High School in Texas.,,,
9,Boeing 737 crashes near Havana airport,bbc-news,"Boeing 737 crashes shortly after take-off from Havana, Cuban media report",,,
1,Meghan Markle's life among Toronto 'royalty',bbc-news,Five things that the actress's life in Toronto tells us about the future royal.,,,
8,All Chile's 34 bishops offer to resign,bbc-news,They asked for forgiveness from victims of clerical sex abuse after meeting the Pope in Rome.,,,
6,Pro14 semi-final: Glasgow Warriors 13-28 Scarlets,bbc-sport,Scarlets reach the Pro14 final in Dublin after outclassing an error-strewn Glasgow Warriors at Scotstoun.,,,
6,Tyson Fury brings snooker star Ronnie O'Sullivan into his support team,bbc-sport,Tyson Fury adds snooker star Ronnie O'Sullivan to his support team before his return to the ring in Manchester next month.,,,
6,Notts County 1-4 Coventry City (2-5 agg),bbc-sport,Coventry City beat Notts County to reach the League Two play-off final and move closer to a first promotion since 1967.,,,
6,John Motson reflects on 50 years in the commentary box,bbc-sport,"After delivering his final BBC commentary last weekend, legendary broadcaster John Motson reflects on his 50 years behind the microphone.",,,
6,Lee Selby v Josh Warrington: Elland Road bout 'destiny' for Leeds fighter,bbc-sport,"Josh Warrington says it is his destiny to ""reach the top of the mountain"" and claim rival Lee Selby's IBF world featherweight title on Saturday.",,,
6,Chelsea's Eden Hazard 'not selfish enough' to win Ballon d'Or,bbc-sport,"Chelsea forward Eden Hazard says he is happier being a team player and glad he is not ""selfish enough"" to win the Ballon d'Or.",,,
9,Kudlow Says China Offered 'at Least' $200 Billion in New Trade,bloomberg,"China offered to reduce its trade surplus with the U.S. by ""at least $200 billion"" in talks to head off a possible trade war, the director of the White House National Economic Council said.",,,
8,"Trump Wanted to Double Amazon's Postal Rates, Report Says",bloomberg,"President Donald Trump pushed U.S. Postal Service officials to double package delivery rates paid by Amazon and other companies, the Washington Post reported.",,,
4,"Goldman CEO Said Likely to Step Down in December, NYT Says",bloomberg,"Lloyd Blankfein will probably step down as Goldman Sachs Group Inc.'s chief executive officer in December, the New York Times reported, citing people familiar with the firm's plans.",,,
4,Novogratz's Plan for a Crypto Merchant Bank Gets a Break -- And a Delay,bloomberg,Mike Novogratz's plan for a publicly traded crypto merchant bank is taking a little longer than expected.,,,
9,Steady-as-She-Goes Canadian Economy Backs Cautious Rate Stance,bloomberg,"Canada's economy continues to show signs of strength, but not enough to fuel inflation and prompt aggressive rate hikes -- a scenario that validates the Bank of Canada's cautious stance on monetary policy.",,,
8,The Gun Controversy Is Smaller Than You Think,bloomberg,"Most Americans, including gun owners, agree on basic regulations.",,,
2,Moving to a Place Instead of a Job,bloomberg,"Location-first movers are a less educated, less elite crowd than those who move to take new jobs. But at least they stick around.",,,
8,Santa Fe shooting survivor says she 'always felt' a shooting would happen at her school because it's 'been happening everywhere',business-insider,"A survivor of the school shooting in Santa Fe, Texas, told a reporter on Friday she ""always felt"" this would happen because ""it's been happening everywhere.""",,,
4,The TV industry seems to have no plan for the future of advertising,business-insider,"BI PRIME: The advertising industry is going through a complete metamorphosis, and more and more brands are selling directly to consumers. Yet the TV business seems to have no plan to cater to these companies.",,,
8,The suspect in the Santa Fe high-school shooting has been identified as 17-year-old Dmitrios Pagourtzis,business-insider,"The suspected gunman who allegedly killed up to 10 people at a Santa Fe, Texas, high school on Friday has been identified as 17-year-old Dmitrios Pagourtzis, a student at the school.",,,
9,Boeing passenger jet with over 100 passengers crashes after taking off from Havana,business-insider,"A passenger jet has crashed after taking off from Jos? Mart?i International Airport in Havana, Cuba. The plane is reportedly a Cubana Airlines Boeing 737 with more than 100 passengers on board.",,,
2,I went to the exclusive after-party where cryptocurrency investors blew off steam with drugs and naked dancers,business-insider,"Cryptocurrency enthusiasts attended an exclusive party at a burlesque club in downtown Manhattan on Wednesday night, after a booze cruise where two Aston Martin sports cars were given away. Frivolity ensued.",,,
4,This $4 billion company is betting big on Google Cloud as it makes its algorithms smarter and its employees more productive,business-insider,"BI PRIME: Credit Karma, a $4 billion company, is moving all of its data processing infrastructure to Google Cloud, betting big on Google BigQuery and other data-crunching products.",,,
8,A Former Playboy Model Apparently Jumped To Her Death While Holding Her Young Son,buzzfeed,"Stephanie Adams and her 7-year-old son were found dead Friday on a second-story balcony of the Gotham Hotel in New York, authorities said.",,,
1,Here's What 100 Years Of British Royal Wedding Dresses Look Like,buzzfeed,More than a century of beautiful princess brides.,,,
2,11 Genius Microwave Hacks That Prove It's Basically The Only Appliance You Need,buzzfeed,Is there anything this magical tiny oven can't do?,,,
2,28 Things That'll Solve Every Little Problem You've Ever Complained About,buzzfeed,Got small problems? There's (probably) a product for that.,,,
1,These Twins Comforted Each Other After Being Born And We Can't Take It,buzzfeed,"Weston and Caleb just didn't want to be apart, and this video captured the moment.",,,
2,37 Slightly Weird Signs You're Becoming A Grown-Ass Adult,buzzfeed,You occasionally stuff trash into your pockets when there's no bins around because you don't want to litter.,,,
1,"The New ""Bachelorette"" Cast Is Here, And The Bios Are Amazing",buzzfeed,One of these guys is Becca's future husband.,,,
9,"A US-China trade pact is taking shape, with tariff reductions on the table, official says",cnbc,"Representatives for the U.S. and China have set ""targets"" for a potential pact, but there is no guarantee it will get signed.",,,
4,CEO Eddie Lampert says Sears is shedding assets and shrinking its once-dominant size in a fight to stay alive,cnbc,The CEO sat down with CNBC in a rare one-on-one interview following Sears' annual shareholder meeting.,,,
4,"It was once the biggest retailer in the US. 125 years later, Sears looks a lot different",cnbc,"As the department store chain celebrates its 125th anniversary, its market capitalization has shrunk drastically.",,,
5,"The farm bill's failure is a showcase of a fractious, polarized political system",cnbc,"For 21st century Washington, governing is a climb that keeps getting steeper. Consider the farm bill defeated on the House floor Friday.",,,
8,"Texas school shooting leaves 10 dead, Gov. Greg Abbott says",cnbc,The shooting was the nation's deadliest such attack since the massacre in Florida that gave rise to a campaign by teens for gun control.,,,
9,Special counsel subpoenas another Roger Stone aide in Russia probe,cnbc,Stone aide John Kakanis has been briefly questioned by the FBI on the topics of possible Russian interference in the 2016 presidential election.,,,
5,House GOP leaders hit with immigration revolts from two sides,cnbc,The GOP's conservative wing sank the farm bill over immigration as moderates also subvert Republican leaders over immigration concerns.,,,
4,"Campbell Soup CEO resigned suddenly, industry insiders have their eyes on a potential replacement",cnbc,"Campbell announced Denise Morrison's abrupt departure on Friday, along with dismal earnings.",,,
3,Here's what drives the price of oil,cnbc,"President Trump's decision to pull out of the Iran nuclear deal could rattle the oil market, but there's a lot more to it than just that. Crude prices are influenced by three major factors: supply, demand and geopolitics.",,,
5,Trump allies worry billionaire investor Peter Thiel could be a no-show during the 2018 midterm campaign,cnbc,"Top White House officials, including Jared Kushner, have given Thiel the cold shoulder, sources tell CNBC.",,,
8,"Dimitrios Pagourtzis identified as Santa Fe High shooter, sources say",cnn,"Dimitrios Pagourtzis, 17, has been identified as the suspect in the Texas high school shooting that left 10 people dead, Galveston County Sheriff Henry Trochesset said.",,,
8,Texas school shooting suspect identified  - CNN Video,cnn,"Dimitrios Pagourtzis is suspected of conducting the shooting today at a Texas high school, Federal law enforcement officials tell CNN and confirmed to the Houston Chronicle by the Galveston County Sheriff's Office.",,,
8,What we know so far about the Santa Fe school shooting,cnn,"As of 1:30 p.m. ET, this is what we know.",,,
8,In pictures: Texas school shooting,cnn,"At least 10 people - nine students and a teacher - are dead after a school shooting in Santa Fe, Texas, a law enforcement official said.",,,
9,"Plane crashes on takeoff from Havana airport, Cuban TV reports",cnn,"A Cubana de Aviacion Boeing 737-200 with 104 people on board crashed Friday on takeoff from Havana's Jose Marti International Airport, according to Cuba's state-run television.",,,
8,Bill Gates describes interesting encounters with Trump,cnn,"Bill Gates made some eyebrow-raising claims about President Donald Trump on Thursday, saying he doesn't know the difference between two sexually transmitted diseases and that it was ""scary"" how much Trump knew about Gates' daughter's appearance.",,,
8,CP3: Hoops 'minor' against Santa Fe attack,espn,Rockets point guard Chris Paul was among those reacting to a deadly shooting at Santa Fe High School in Texas that left 10 dead Friday.,,,
6,Fast track: Lue wants Cavs to speed up pace,espn,"Cavaliers coach Tyronn Lue wants his team, in an 0-2 hole in the Eastern Conference finals, to speed things up in Game 3.",,,
6,Agent: WR V. Jackson 'very happily retired',espn,"Veteran receiver Vincent Jackson, who sat out the 2017 season after a 12-year NFL career, is ""very happily retired,"" his agent told ESPN.",,,
6,Mets' Lagares (toe) likely to miss rest of season,espn,"Outfielder Juan Lagares hyperextended his toe on Wednesday and will undergo surgery, likely missing the rest of the Mets' season.",,,
6,QB Barnett enrolls at USF as grad transfer,espn,"QB Blake Barnett, who started his career at Alabama and recently graduated from Arizona State, has enrolled at South Florida as a graduate transfer and will be eligible to play for the Bulls next season.",,,
1,"Yes, [SPOILER] Was Actually in Deadpool 2 - IGN",ign,The screenwriters reveal how they got the Oscar nominee to cameo in the sequel.,,,
1,My Hero Academia Japan Crate Unboxing - IGN Video,ign,Miranda and Mike unbox the special My Hero Academia Japan Crate and try some delicious sour snacks that pair perfectly with the intense new season of My Hero Academia. This limited edition collaboration Japan Crate is available until the end of May 2018.,,,
1,Tips and Tricks - State of Decay 2 Wiki Guide - IGN,ign,"Tips and Tricks - State of Decay 2: Whether you're just getting started in State of Decay 2 or are a survival veteran, there's a good chance you'll learn something new with this State o...",,,
1,The 25 Best Heist Movies - IGN,ign,"Synchronize your watches and take a look at the coolest, the funniest, the most action-packed and, in a word, the best heist movies ever made.",,,
1,Here's Who Voices (SPOILER) in Deadpool 2 - IGN,ign,This classic Marvel villain hasn't been seen on the big screen since 2006's X-Men: The Last Stand.,,,
1,DreamHack Austin Pairs Esports With All Things Gaming - IGN,ign,"IGN is Streaming Matches, Music &amp;amp; More June 1-3",,,
1,Call of Duty Black Ops 4 - 9 Minutes of Domination Gameplay on Contraband - IGN Video,ign,Check out 9 minutes of Domination mode in Call of Duty Black Ops 4 multiplayer gameplay on the map Contraband,,,
1,"Clint Eastwood to Direct, Star in True Crime Movie About Elderly Drug Runner - IGN",ign,The film centers on the true life story of 90-year-old drug runner Leo Sharp.,,,
1,Deadpool 2 Spoilercast: Was It Better Than the Original? - IGN Video,ign,"Jacki, Jim and Joshua discuss what they liked and didn't about the sequel",,,
1,Kingdom Hearts 3 Release Date Announcement Is Coming 'Next Month' - IGN,ign,"While we've gotten our first chance to actually play Kingdom Hearts 3,&amp;hellip;",,,
1,"Adult visual novels to be censored further or removed from Steam, developers say",polygon,Developers have been told to change their games or face removal,,,
1,Destiny 2's power ramp is getting updated in just two weeks,polygon,More changes to come in the next few months,,,
1,Go Vacation port for Nintendo Switch launching in July,polygon,"Go Vacation, the 2011 Bandai Namco game for Wii that resembled the Wii Sports and Wii Sports Resort franchise, is being ported to the Nintendo Switch. The game arrives in July.",,,
7,"E3 2018 schedule: how to watch Sony, Xbox, Nintendo, Fortnite and more",polygon,"When and how to watch E3 2018's biggest events and press conferences, including Sony PlayStation, Microsoft's Xbox showcase, Nintendo Direct (with Smash Bros.), EA, Bethesda, Ubisoft, and more!",,,
5,Freedom Caucus Sinks Farm Bill,the-huffington-post,A fight over immigration spoiled Paul Ryan's welfare reform agenda.,,,
8,Parkland Survivors React To Santa Fe High School Shooting In Texas,the-huffington-post,"""You deserve more than Thoughts and Prayers,"" Emma Gonz?lez tweeted.",,,
5,Transphobic Congressional Hopeful Berates Person Inside Public Restroom,the-huffington-post,A Republican running in a district that includes part of Los Angeles County documented her restroom confrontation in a shocking viral video.,,,
5,"Elizabeth Warren, Patty Murray Want To Know Why Trump's Global Health Adviser Left",the-huffington-post,"""The threat of a pandemic is serious, and it's important families know we have a vigilant and experienced team in place.""",,,
8,"Trump personally pushed postmaster general to double rates on Amazon, other firms",the-huffington-post,The postmaster general said the rates were set by contracts and defended the relationship.,,,
8,"Texas School Shooting Leaves 10 Dead, 10 Wounded",the-huffington-post,"One male suspect is in custody, while another ""person of interest"" has been detained, according to police.",,,
9,Plane Crashes Outside Havana's Main Airport,the-huffington-post,"Dozens of people are believed to be dead, according to Cuban media.",,,
8,'We Should Not Have This in Common': Santa Fe and Parkland Students React to Shooting,the-new-york-times,"Survivors of the February school shooting in Parkland, Fla. offered sympathy and support to their grieving peers in Santa Fe, Tex.",,,
8,"What We Know About Dimitrios Pagourtzis, the Texas Shooting Suspect",the-new-york-times,"Gov. Greg Abbott of Texas said the suspect's Facebook page, along with a journal that he prepared outlining plans for a shooting, may prove to be important clues.",,,
5,House Farm Bill Collapses Amid Republican Disarray,the-new-york-times,"Republican division sunk an ambitious farm bill on the House floor Friday, even as a separate G.O.P. revolt secured enough support to force an immigration vote.",,,
9,Plane Carrying About 100 Passengers Crashes in Cuba,the-wall-street-journal,"A jet carrying 100 passengers caught fire soon after crashing south of Havana, with the extent of casualties unknown.",,,
9,IMF Begins Negotiations With Argentina Over Large Credit Line,the-wall-street-journal,"The executive board of the International Monetary Fund began the formal process of negotiating a bailout program with Argentina, which has neared the brink of a crisis as its peso has fallen against the dollar.",,,
8,Fake Facebook accounts and online lies multiply in hours after Santa Fe school shooting,the-washington-post,"It has become a familiar pattern in the all-too-common aftermath of American school shootings: A barrage of online misinformation, seemingly designed to cloud the truth or win political points. But some were still surprised at the speed with which the Santa Fe shooting descended into information warfare.",,,
8,Here's what Parkland survivors are saying about the Santa Fe school shooting,the-washington-post,"Survivors of past school shootings took to social media to express condolences, outrage and empathy to a new school full of survivors.",,,
8,"Santa Fe school shooting is 2nd this week, 3rd this month and 16th this year",the-washington-post,2018 is shaping up to be the worst year for school shootings in two decades.,,,
8,"Analysis | More than 210,000 students have experienced gun violence at school since Columbine",the-washington-post,The Washington Post has spent the past year determining how many children have been exposed to gun violence during school hours since the Columbine High massacre in 1999.,,,
9,"More than 100 people dead after airliner crashed in Cuba, according to Cuban officials and media",the-washington-post,A state-run newspaper reported that three people survived the crash. Images posted on social media showed smoke rising from the crash site south of Havana.,,,
8,What we know about Texas shooting suspect,bbc-news,"Hours before the attack, he made an ominous post on social media accompanied by an occult symbol.",,,
6,FA Cup final: Antonio Conte says he has a 'relationship' with Jose Mourinho,bbc-sport,Chelsea boss Antonio Conte says he will shake Jose Mourinho's hand when his side face Manchester United in the FA Cup at Wembley.,,,
6,Scottish Cup final: Motherwell must expect to win against Celtic - Robinson,bbc-sport,Stephen Robinson says there is no point in Motherwell turning up at Hampden to face Celtic if they do not expect to win.,,,
4,Kushner Cos.' 666 Fifth Ave. Could End Up Looking Like This,bloomberg,What might Kushner Cos.' 666 Fifth Ave. look like if Brookfield Property Partners LP took over? Maybe 5 Manhattan West.,,,
2,It's Time To Settle The Greatest Debate Of All Time On These 12 Ridiculous Things,buzzfeed,"Let's settle these right here, right now.",,,
1,28 Pictures From Prince Harry's Extraordinary Life,buzzfeed,"From St. Mary's Hospital to his anticipated royal wedding, here's a look back at the life of Prince Harry of Wales.",,,
2,12 Expert Tips For Saving Money On Your Grocery Bill,buzzfeed,Shop smart(er).,,,
1,16 Celebrity Instagrams You Missed This Week,buzzfeed,Here's everything you might've missed this week.,,,
7,The Best Android Tablets - IGN,ign,"There's plenty of functional, powerful, and flexible Android tablets out there to choose from, and here's our picks for the very best, from Samsung, Lenovo, Asus and more.",,,
1,Would Nintendo Debut the Mario Movie Trailer at E3? - IGN Video,ign,We know Nintendo has partnered with the creator of Minions for an animated Mario movie.,,,
8,School Shootings Have Already Killed Dozens in 2018,the-new-york-times,The shootings have become so common that most people likely don't remember them all. There are also some you might not have heard about.,,,
8,"Chinese spies promised to take care of ex-CIA officer for life, prosecutors say",the-washington-post,"Defendant Jerry Chun Shing Lee, accused of conspiracy to commit espionage, has pleaded not guilty and faces trial next year.",,,
9,Shia cleric's bloc wins Iraq elections,bbc-news,"Moqtada Sadr makes a comeback in Iraq, defeating PM Haidar al-Abadi, final results show.",,,
9,Millions to watch Prince Harry wed Meghan,bbc-news,"Packed crowds and sunny weather are expected when the couple wed in Windsor at noon, in a service laced with modern touches.",,,
9,Rapper Diddy revealed as $21.1m art buyer,bbc-news,"Sean ""Diddy"" Combs is thought to have paid a record price for a work by a living African-American artist.",,,
9,Saudi Arabia 'detains seven activists',bbc-news,Prominent women's rights activists are held weeks before kingdom is set to lift female driving ban.,,,
9,Johnson's bid to strengthen Argentine ties,bbc-news,Boris Johnson to make the first visit by a British foreign secretary to Argentina for 25 years.,,,
6,FA Cup final: What will decide Chelsea v Man Utd? Ruud Gullit & Phil Neville analysis,bbc-sport,Ex-Chelsea player-manager Ruud Gullit and former Manchester United defender Phil Neville discuss what will decide Saturday's FA Cup final.,,,
6,"FA Cup: Paul Man Utd's Paul Pogba on pasta, dolphins and being a Mancunian",bbc-sport,"Manchester United midfielder Paul Pogba talks to Mark Chapman about how variety is the spice of life, wanting to swim with dolphins and whether he considers himself Mancunian.",,,
6,ECB supports ICC's proposal to scrap toss in Test cricket,bbc-sport,The England and Wales Cricket Board supports the International Cricket Council's plans to remove the coin toss in Test cricket.,,,
6,"'It was almost as if Mourinho enjoyed Rashford's failure', In Short - BBC Radio 5 live",bbc-sport,"Jenas says Mourinho's treatment of Rashford after the Brighton defeat was ""disgusting.""",,,
8,Fox News Wins Dismissal of Retaliation Suit by Ex-Host Tantaros,bloomberg,"Fox News won dismissal of a lawsuit by former host Andrea Tantaros alleging retaliation over her 2016 sexual harassment complaint that described the network as operating like a ""sex-fueled, Playboy Mansion-like cult.""",,,
4,Facebook Is Said to Lease New Tower in San Francisco Expansion,bloomberg,"Facebook Inc. is constantly expanding in its Silicon Valley hometown of Menlo Park, California. Now it's making a bigger push into San Francisco.",,,
9,North Korean Pushback Undercuts U.S. Exuberance Over Kim Meeting,bloomberg,The dizzying pace of North Korean-U.S. diplomacy this year had President Donald Trump fielding questions about whether he might win the Nobel Peace Prize.,,,
4,Goldman Teams With Former Honeywell CEO in $690 Million M&A Push,bloomberg,Goldman Sachs Group Inc. is teaming up with former Honeywell International Inc. Chief Executive Officer Dave Cote to raise as much as $690 million to buy industrial companies.,,,
8,"10 people were killed at a school shooting in Santa Fe, Texas- here's how the attack and the suspect's surrender unfolded",business-insider,Here's a timeline of the deadly attacks and the law-enforcement's response during the Santa Fe High School shooting in Texas on Friday morning.,,,
8,These are the victims of the deadly Santa Fe High School mass shooting,business-insider,"Nine students and one teacher were killed in a mass shooting on Friday in Santa Fe, Texas. Here are the victims and their stories.",,,
9,"Michael Cohen reportedly met with another Qatari government official, days before the FBI raided his office",business-insider,"It's unclear what was discussed at the meeting with Qatar's minister of economy and commerce in April, but Cohen reportedly offered his services to a different Qatari official at a meeting in December 2016, promising access to the White House in exchange for $1 million.",,,
4,"Morgan Stanley figured out how much YouTube would be worth if it were a separate company, and it's more valuable than Disney",business-insider,BI PRIME: Google acquired YouTube for $1.65 billion twelve years ago. Since then its value has risen one hundred fold according to Morgan Stanley.,,,
8,"Santa Fe high-school gunman reportedly yelled out 'surprise' before shooting, didn't shoot students he liked",business-insider,"After his arrest, 17-year-old Dimitrios Pagourtzis waved his Miranda rights and confessed to the killings that left 10 people dead and another 10 injured.",,,
5,Trump reportedly tried to personally demand that the Postal Service double how much it charges Amazon,business-insider,"President Donald Trump pushed the US postmaster general to double how much Amazon and other companies pay to ship packages through the service, The Washington Post reports.",,,
4,"The CEO of the world's largest car company flexes on Tesla, touts best-selling electric cars, and says range anxiety is no longer an issue",business-insider,"Carlos Ghosn, the CEO of the Renault Nissan Alliance, the world's largest automotive company, said the secret formula to building successful electric vehicles is to give them just enough range to suit customer's needs while also making them accessible to more buyers.",,,
8,These Are The Victims Of The Texas High School Shooting,buzzfeed,"The victims in the Santa Fe, Texas, shooting included a ""nice, outgoing"" football player and a beloved teacher.",,,
2,19 Cake Decorators Who Have 100% Given Up,buzzfeed,They tried.,,,
2,Rate These Movie/Food Combos And We'll Reveal Which Generation You Actually Belong In,buzzfeed,Get Out and Froot Loops?,,,
2,"Plan A Royal Wedding, And We'll Reveal The One Thing You're Really Looking For In A Relationship",buzzfeed,Fascinators at the ready!,,,
1,18 Tweets You'll Relate To If You're The Sweaty Friend,buzzfeed,"His palms are [always] sweaty, [especially when eating] mom's spaghetti.",,,
5,"Virginia Senator Mark Warner warns against outing FBI sources, calls it 'potentially illegall'",cnbc,"Virginia Senator Mark Warner, the top Democrat on the Senate Intelligence Committee, said in a series of posts on Twitter Friday that attempting to unmask a confidential source was ""irresponsible"" and ""potentially illegal.""",,,
8,"School shootings so common Santa Fe student felt 'eventually it would happen here, too'",cnn,Paige Curry was visibly shaken during her interview Friday.,,,
8,These are the victims of the Santa Fe High School shooting,cnn,"So far, authorities have named substitute teacher and an exchange student from Pakistan.",,,
8,Witnesses in the Santa Fe High School shooting describe an all-too-familiar scene,cnn,Dakota Shrader thought she was in the middle of a typical fire drill on Friday when gunshots rang out.,,,
8,Thoughts and prayers this isn't true in Texas,cnn,"Texas, like the rest of the nation, may be too far gone to turn away from where guns have taken us. We might have unconsciously resolved to live with recurrent tragedies caused by easy availability of guns to almost anyone, regardless of their mental stability or disturbing past, writes James Moore.",,,
9,US B-52 bombers changed flight plan after North Korea threatened Trump summit,cnn,"The US, South Korea and Japan agreed this week to shift a planned flight of at least two nuclear-capable B-52 bombers so they would not fly over the Korean Peninsula, according to two US defense officials.",,,
5,Reports: FBI's informant talked to multiple Trump campaign aides,cnn,"The FBI dispatched an informant to speak with at least two advisers to Donald Trump's presidential campaign after the bureau obtained evidence that the aides had ties to Russia, according to multiple reports Friday.",,,
5,Warner: It's 'potentially illegal' to identify FBI source in effort to undercut Russia probe,cnn,"Sen. Mark Warner, the top Democrat on the Senate Intelligence Committee, warned on Friday it could be illegal for lawmakers to uncover the identity of an intelligence source in an attempt to undercut the federal investigation into Russia's interference in the 2016 presidential election.",,,
6,Watt to pay for funerals of Santa Fe victims,espn,Texans star J.J. Watt has offered to pay for the funerals of those who were killed in Friday's school shooting near Houston.,,,
6,Suns GM 'certainly open' to dealing No. 1 pick,espn,Phoenix Suns general manager Ryan McDonough says he hasn't ruled out the option of dealing away the No. 1 pick in June's draft for a lower pick -- or even a worthy veteran player.,,,
6,Young: 'I'm the best overall player in this draft',espn,"Trae Young says his focus is not just to be the best player in the 2018 draft, but the best player in the NBA.",,,
6,Heyward on first concussion: 'That stuff is scary',espn,"Cubs outfielder Jason Heyward said that experiencing his first concussion May 6 ""made a believer"" out of him when it comes to the dangers of head injuries.",,,
6,Curry not losing sleep over offensive struggles,espn,"Warriors stars Stephen Curry and Kevin Durant shrugged off Curry's shooting slump, with both men underscoring their confidence in Curry's play.",,,
6,Buchholz set for first MLB start since April 2017,espn,"Clay Buchholz, who hasn't pitched in the majors since April 2017, is likely to start for the Diamondbacks on Sunday against the New York Mets.",,,
1,Valve Threatens Popular Erotic Games on Steam with Take down Warnings - IGN,ign,The developers of several popular erotic games on Steam have received warnings from Valve that they must censor the adult content in their games or they will be removed.,,,
1,Does the Agents of SHIELD Finale Tackle Infinity War's Ending or Save it for Season 6? - IGN,ign,Does Agents of SHIELD's Season 5 finale deal with the events of Avengers: Infinity War? Clark Gregg sheds some spoiler-filled light on that ending.,,,
1,How Deadpool 2 Fixed X-Men Origins: Wolverine - IGN,ign,The director and screenwriters of Deadpool 2 on making Ryan Reynolds' wish come true.,,,
1,"Marvel's Agents of SHIELD Season 5 Finale: ""The End"" Review - IGN",ign,"In Agents of SHIELD's Season 5 finale, Coulson's team races to stop Graviton from destroying the planet. Here's our review.",,,
1,Call of Duty Blackout vs. Fortnite: The Future of Battle Royale - Fortnite Show Ep. 3 - IGN Video,ign,"The team discusses what Call of Duty Blackout means for Fortnite, the trap damage increase, and the new solo showdown mode.",,,
1,Marvel Ominously Teases 'Spidergeddon' - IGN,ign,"According to a cryptic tease from Marvel Comics, something big is coming later this year for the web-slinging hero.",,,
1,Fireteam Chat Ep. 163 - Destiny 2 is Adding a PTR At a Perfect Time - IGN's Destiny Show - IGN Video,ign,This week we go over all of the changes coming to Destiny 2 soon with a ton more on the way. However a large chunk of our conversation is about the a PTR called Crucible Labs that will change the game.,,,
1,Bloodstained Curse of the Moon Trailer Channels 8-Bit Castlevania - IGN Video,ign,The Bloodstained retro &quot,de-make&quot, spin-off arrives this month.,
8,Texas Lt. Gov. Says 'Too Many Entrances' Possibly To Blame In School Shooting,the-huffington-post,"""Had there been one single entrance possibly for every student, maybe he would have been stopped,"" Dan Patrick said.",,,
8,"Students Stage Sit-In For Gun Control Outside Paul Ryan's Office, Get Arrested",the-huffington-post,The teens organized the protest in response to the Texas school shooting earlier that day.,,,
8,"Hospice Overdosed Patients To 'Hasten Their Deaths,' Former Health Care Executive Admits",the-huffington-post,Federal prosecutors allege Melanie Murphey and others at Novus Health Services in Texas were trying to maximize profits.,,,
9,USAID Donates $1 Million To Fight Ebola Outbreak In DR Congo,the-huffington-post,The outbreak is estimated to cost about $26 million to contain.,,,
8,'Please Pray': Santa Fe Is a Town That Has Long Found Comfort in Faith,the-new-york-times,"For many in Santa Fe, the past year has drawn on all the reserves of faith they have. First, Hurricane Harvey. And then Friday's mass shooting.",,,
8,This Is School in America Now,the-new-york-times,"Time after time, a report comes of another everyday nightmare at an American school, and with it, a harrowing ritual.",,,
5,"F.B.I. Used Informant to Investigate Russia Ties to Campaign, Not to Spy, as Trump Claims",the-new-york-times,The informant made contact in the summer of 2016 with Trump campaign advisers who were already under scrutiny for ties to Russia.,,,
5,White House Keeps Details of Melania Trump's Health Under Wraps,the-new-york-times,"Four days into Mrs. Trump's unusually long recovery period after a kidney procedure, virtually all that has been said is that the first lady is ""doing great.""",,,
9,Scores Dead as Cuban Airliner Crashes,the-new-york-times,"Cuba state television said the plane, a Boeing 737, went down moments after departing Havana's international airport.",,,
